t,value
1608916471,8193
1608916771,8193
1608917071,8193
1608917371,8193
1608917671,8193
1608917971,8193
1608918271,8193
1608918571,8193
1608918871,8193
1608919171,8193
1608919471,8193
1608919771,8193
1608920071,8193
1608920371,8193
1608920671,8193
1608920971,8193
1608921271,8193
1608921571,8193
1608921871,8193
1608922171,8193
1608922471,8193
1608922771,8193
1608923071,8193
1608923371,8193
1608923671,8193
1608923971,8193
1608924271,8193
1608924571,8193
1608924871,8193
1608925171,8193
1608925471,8193
1608925771,8193
1608926071,8193
1608926371,8193
1608926671,8193
1608926971,8193
1608927271,8193
1608927571,8193
1608927871,8193
1608928171,8193
1608928471,8193
1608928771,8193
1608929071,8193
1608929371,8193
1608929671,8193
1608929971,8193
1608930271,8193
1608930571,8193
1608930871,8193
1608931171,8193
1608931471,8193
1608931771,8193
1608932071,8193
1608932371,8193
1608932671,8193
1608932971,8193
1608933271,8193
1608933571,8193
1608933871,8193
1608934171,8193
1608934471,8193
1608934771,8193
1608935071,8193
1608935371,8193
1608935671,8193
1608935971,8193
1608936271,8193
1608936571,8193
1608936871,8193
1608937171,8193
1608937471,8193
1608937771,8193
1608938071,8193
1608938371,8193
1608938671,8193
1608938971,8193
1608939271,8193
1608939571,8193
1608939871,8193
1608940171,8193
1608940471,8193
1608940771,8193
1608941071,8193
1608941371,8193
1608941671,8193
1608941971,8193
1608942271,8193
1608942571,8193
1608942871,8193
1608943171,8193
1608943471,8193
1608943771,8193
1608944071,8193
1608944371,8193
1608944671,8193
1608944971,8193
1608945271,8193
1608945571,8193
1608945871,8193
1608946171,8193
1608946471,8193
1608946771,8193
1608947071,8193
1608947371,8193
1608947671,8193
1608947971,8193
1608948271,8193
1608948571,8193
1608948871,8193
1608949171,8193
1608949471,8193
1608949771,8193
1608950071,8193
1608950371,8193
1608950671,8193
1608950971,8193
1608951271,8193
1608951571,8193
1608951871,8193
1608952171,8193
1608952471,8193
1608952771,8193
1608953071,8193
1608953371,8193
1608953671,8193
1608953971,8193
1608954271,8193
1608954571,8193
1608954871,8193
1608955171,8193
1608955471,8193
1608955771,8193
1608956071,8193
1608956371,8193
1608956671,8193
1608956971,8193
1608957271,8193
1608957571,8193
1608957871,8193
1608958171,8193
1608958471,8193
1608958771,8193
1608959071,8193
1608959371,8193
1608959671,8193
1608959971,8193
1608960271,8193
1608960571,8193
1608960871,8193
1608961171,8193
1608961471,8193
1608961771,8193
1608962071,8193
1608962371,8193
1608962671,8193
1608962971,8193
1608963271,8193
1608963571,8193
1608963871,8193
1608964171,8193
1608964471,8193
1608964771,8193
1608965071,8193
1608965371,8193
1608965671,8193
1608965971,8193
1608966271,8193
1608966571,8193
1608966871,8193
1608967171,8193
1608967471,8193
1608967771,8193
1608967813,8193
1608967813,8193
