t,value
1609975584,0.20567722371967656
1609975884,0.20567722371967656
1609976184,0.20567722371967656
1609976484,0.20567722371967656
1609976784,0.20567722371967656
1609977084,0.20567722371967656
1609977384,0.20567722371967656
1609977684,0.20567722371967656
1609977984,0.20567722371967656
1609978284,0.20567722371967656
1609978584,0.20567722371967656
1609978884,0.20567722371967656
1609979184,0.20567722371967656
1609979484,0.20567722371967656
1609979784,0.20567722371967656
1609980084,0.20567722371967656
1609980384,0.20567722371967656
1609980684,0.20567722371967656
1609980984,0.20567722371967656
1609981284,0.20567722371967656
1609981584,0.20567722371967656
1609981884,0.20567722371967656
1609982184,0.20567722371967656
1609982484,0.20567722371967656
1609982784,0.20567722371967656
1609983084,0.20567722371967656
1609983384,0.20567722371967656
1609983495,0.20567722371967656
1609983495,0.20567722371967656
