t,value
1608282766,8225
1608283066,8193
1608283366,8193
1608283666,8193
1608283966,8193
1608284266,8193
1608284566,8193
1608284866,8193
1608285166,8193
1608285466,8193
1608285766,8193
1608286066,8193
1608286366,8193
1608286666,8193
1608286966,8193
1608287266,8193
1608287566,8193
1608287866,8193
1608288166,8193
1608288466,8193
1608288766,8193
1608289066,8193
1608289366,8193
1608289666,8193
1608289966,8193
1608290266,8193
1608290566,8193
1608290866,8193
1608291166,8193
1608291466,8193
1608291766,8193
1608292066,8193
1608292366,8193
1608292666,8193
1608292966,8193
1608293266,8193
1608293566,8193
1608293866,8193
1608294166,8193
1608294466,8193
1608294766,8193
1608295066,8193
1608295366,8193
1608295666,8193
1608295966,8193
1608296266,8193
1608296566,8193
1608296866,8193
1608297166,8193
1608297466,8193
1608297766,8193
1608298066,8193
1608298366,8193
1608298666,8193
1608298966,8193
1608299266,8193
1608299566,8193
1608299866,8193
1608300166,8193
1608300466,8193
1608300766,8193
1608301066,8193
1608301366,8193
1608301666,8193
1608301966,8193
1608302266,8193
1608302566,8193
1608302866,8193
1608303166,8193
1608303466,8193
1608303766,8193
1608304066,8193
1608304366,8193
1608304666,8193
1608304966,8193
1608305266,8193
1608305566,8193
1608305866,8193
1608306166,8193
1608306466,8193
1608306766,8193
1608307066,8193
1608307366,8193
1608307666,8193
1608307966,8193
1608308266,8193
1608308566,8193
1608308866,8193
1608309166,8193
1608309466,8193
1608309766,8193
1608310066,8193
1608310366,8193
1608310666,8193
1608310966,8193
1608311266,8193
1608311566,8193
1608311866,8193
1608312166,8193
1608312466,8193
1608312766,8193
1608313066,8193
1608313366,8193
1608313666,8193
1608313966,8193
1608314266,8193
1608314566,8193
1608314866,8193
1608315166,8193
1608315466,8193
1608315766,8193
1608316066,8193
1608316366,8193
1608316666,8193
1608316966,8193
1608317266,8193
1608317566,8193
1608317866,8193
1608318166,8193
1608318466,8193
1608318766,8193
1608319066,8193
1608319366,8193
1608319666,8193
1608319828,8193
1608319828,8193
