t,value
1618761498,0.9304651649031629
1618761798,0.9304651649031629
1618762098,0.9304651649031629
1618762398,0.9304651649031629
1618762698,0.9304651649031629
1618762998,0.9304651649031629
1618763298,0.9304651649031629
1618763598,0.9304651649031629
1618763898,0.9304651649031629
1618764198,0.9304651649031629
1618764498,0.9304787148754607
1618764798,0.9304787148754607
1618765098,0.9304827139992291
1618765398,0.9304827139992291
1618765698,0.9304827139992291
1618765998,0.9304827139992291
1618766298,0.9304827139992291
1618766598,0.9304827139992291
1618766898,0.9304827139992291
1618767198,0.9304827139992291
1618767498,0.9304827139992291
1618767798,0.9304827139992291
1618768098,0.9304827139992291
1618768398,0.9304827139992291
1618768698,0.9304827139992291
1618768998,0.9304827139992291
1618769298,0.9304827139992291
1618769598,0.9304827139992291
1618769898,0.9304827139992291
1618770198,0.9304827139992291
1618770498,0.9304827139992291
1618770798,0.9304827139992291
1618771098,0.9304827139992291
1618771398,0.9304827139992291
1618771698,0.9304827139992291
1618771998,0.9304831844843784
1618772298,0.9304859132982439
1618772598,0.9304859132982439
1618772898,0.9304859132982439
1618773198,0.9304859132982439
1618773498,0.9304859132982439
1618773798,0.9304859132982439
1618774098,0.9304859132982439
1618774398,0.9304859132982439
1618774698,0.9304859132982439
1618774998,0.9304859132982439
1618775298,0.9304859132982439
1618775598,0.9304859132982439
1618775898,0.9304859132982439
1618776198,0.9304859132982439
1618776498,0.9304859132982439
1618776798,0.9304859132982439
1618777098,0.9304859132982439
1618777398,0.9304859132982439
1618777698,0.9304859132982439
1618777998,0.9304859132982439
1618778298,0.9304859132982439
1618778598,0.9304859132982439
1618778898,0.9305536631597331
1618779198,0.9305536631597331
1618779498,0.9305536631597331
1618779798,0.9305536631597331
1618780098,0.9305536631597331
1618780398,0.9305536631597331
1618780698,0.9305536631597331
1618780998,0.9305536631597331
1618781155,0.9305558744399345
1618781155,0.9305558744399345
