t,value
1608356025,2147483648
1608356325,2147483648
1608356625,2147483648
1608356925,2147483648
1608357225,2147483648
1608357525,2147483648
1608357825,2147483648
1608358125,2147483648
1608358425,2147483648
1608358725,2147483648
1608359025,2147483648
1608359325,2147483648
1608359625,2147483648
1608359925,2147483648
1608360225,2147483648
1608360525,2147483648
1608360825,2147483648
1608361125,2147483648
1608361425,2147483648
1608361725,2147483648
1608362025,2147483648
1608362325,2147483648
1608362625,2147483648
1608362925,2147483648
1608363225,2147483648
1608363525,2147483648
1608363825,2147483648
1608364125,2147483648
1608364425,2147483648
1608364725,2147483648
1608365025,2147483648
1608365325,2147483648
1608365625,2147483648
1608365925,2147483648
1608366225,2147483648
1608366525,2147483648
1608366825,2147483648
1608367125,2147483648
1608367425,2147483648
1608367725,2147483648
1608368025,2147483648
1608368325,2147483648
1608368625,2147483648
1608368925,2147483648
1608369225,2147483648
1608369525,2147483648
1608369825,2147483648
1608370125,2147483648
1608370425,2147483648
1608370725,2147483648
1608371025,2147483648
1608371325,2147483648
1608371625,2147483648
1608371925,2147483648
1608372225,2147483648
1608372525,2147483648
1608372825,2147483648
1608373125,2147483648
1608373425,2147483648
1608373725,2147483648
1608374025,2147483648
1608374325,2147483648
1608374625,2147483648
1608374925,2147483648
1608375225,2147483648
1608375525,2147483648
1608375825,2147483648
1608376125,2147483648
1608376425,2147483648
1608376725,2147483648
1608377025,2147483648
1608377325,2147483648
1608377625,2147483648
1608377925,2147483648
1608378225,2147483648
1608378525,2147483648
1608378825,2147483648
1608379125,2147483648
1608379425,2147483648
1608379725,2147483648
1608380025,2147483648
1608380325,2147483648
1608380625,2147483648
1608380925,2147483648
1608381225,2147483648
1608381525,2147483648
1608381825,2147483648
1608382125,2147483648
1608382425,2147483648
1608382725,2147483648
1608383025,2147483648
1608383325,2147483648
1608383625,2147483648
1608383865,2147483648
1608383865,2147483648
