t,value
1610361066,0.16617682844963583
1610361366,0.16689113214513476
1610361666,0.16689113214513476
1610361966,0.16689113214513476
1610362266,0.16689113214513476
1610362566,0.16689113214513476
1610362866,0.16689113214513476
1610363166,0.16689113214513476
1610363466,0.16692889269291444
1610363766,0.16692889269291444
1610364066,0.16692889269291444
1610364366,0.16692889269291444
1610364666,0.16692889269291444
1610364966,0.16673904104991105
1610365266,0.16673904104991105
1610365566,0.16673904104991105
1610365866,0.16673904104991105
1610366166,0.16673904104991105
1610366466,0.16673904104991105
1610366766,0.16673904104991105
1610367066,0.16673904104991105
1610367366,0.16673904104991105
1610367666,0.16673904104991105
1610367966,0.16673904104991105
1610368266,0.16673904104991105
1610368566,0.16673904104991105
1610368866,0.16673904104991105
1610369166,0.16673904104991105
1610369466,0.16673904104991105
1610369766,0.16673904104991105
1610370066,0.16673904104991105
1610370366,0.16673904104991105
1610370666,0.16673904104991105
1610370966,0.16673904104991105
1610371266,0.16673904104991105
1610371566,0.16673904104991105
1610371866,0.1668281978988353
1610372166,0.16688169200818984
1610372466,0.1669100124190246
1610372766,0.1669100124190246
1610373066,0.1669100124190246
1610373366,0.1669100124190246
1610373666,0.1669100124190246
1610373966,0.1669100124190246
1610374266,0.1669100124190246
1610374566,0.1669100124190246
1610374866,0.1669100124190246
1610375166,0.1669100124190246
1610375466,0.1669100124190246
1610375766,0.1669100124190246
1610376066,0.1669100124190246
1610376366,0.1669100124190246
1610376666,0.1669100124190246
1610376966,0.1669100124190246
1610377266,0.1669100124190246
1610377566,0.1669100124190246
1610377866,0.1669100124190246
1610378166,0.16691735474775954
1610378466,0.16691735474775954
1610378766,0.16691735474775954
1610379066,0.16691735474775954
1610379366,0.16691735474775954
1610379666,0.16691735474775954
1610379966,0.16694043063806935
1610380266,0.16694043063806935
1610380566,0.16694043063806935
1610380866,0.16694043063806935
1610381166,0.16694043063806935
1610381466,0.16694043063806935
1610381766,0.16694043063806935
1610382066,0.1669928758433189
1610382366,0.1669928758433189
1610382666,0.1669928758433189
1610382966,0.1669928758433189
1610383266,0.1669928758433189
1610383566,0.1669928758433189
1610383866,0.1669928758433189
1610384166,0.1669928758433189
1610384466,0.1669928758433189
1610384766,0.1669928758433189
1610385066,0.1669928758433189
1610385366,0.1669928758433189
1610385666,0.1669928758433189
1610385966,0.1669928758433189
1610386266,0.1669928758433189
1610386566,0.1669928758433189
1610386866,0.1669928758433189
1610387166,0.1669928758433189
1610387466,0.1669928758433189
1610387766,0.1669928758433189
1610388066,0.1669928758433189
1610388366,0.1669928758433189
1610388666,0.1669928758433189
1610388966,0.1669928758433189
1610389266,0.1669928758433189
1610389566,0.1669928758433189
1610389866,0.1669928758433189
1610390166,0.1669928758433189
1610390466,0.1669928758433189
1610390766,0.1669928758433189
1610391066,0.1669928758433189
1610391366,0.1669928758433189
1610391666,0.1669928758433189
1610391966,0.1669928758433189
1610392266,0.1669928758433189
1610392566,0.1669928758433189
1610392866,0.1669928758433189
1610393166,0.1669928758433189
1610393466,0.1669928758433189
1610393766,0.1669928758433189
1610394066,0.1669928758433189
1610394366,0.1669928758433189
1610394666,0.1669928758433189
1610394966,0.1669928758433189
1610395266,0.1669928758433189
1610395566,0.1669928758433189
1610395866,0.1669928758433189
1610396166,0.1669928758433189
1610396466,0.1669928758433189
1610396766,0.1669928758433189
1610397066,0.1669928758433189
1610397366,0.1669928758433189
1610397666,0.1669928758433189
1610397966,0.1669928758433189
1610398266,0.1669928758433189
1610398566,0.1669928758433189
1610398866,0.1669928758433189
1610399166,0.1669928758433189
1610399466,0.1669928758433189
1610399766,0.1669928758433189
1610400066,0.1669928758433189
1610400366,0.1669928758433189
1610400666,0.1669928758433189
1610400966,0.1669928758433189
1610401266,0.1669928758433189
1610401566,0.1669928758433189
1610401866,0.1669928758433189
1610402166,0.1669928758433189
1610402466,0.1669928758433189
1610402766,0.1669928758433189
1610403066,0.1669928758433189
1610403366,0.1669928758433189
1610403666,0.1669928758433189
1610403966,0.1669928758433189
1610404266,0.1669928758433189
1610404566,0.1669928758433189
1610404866,0.1669928758433189
1610405166,0.1669928758433189
1610405466,0.1669928758433189
1610405766,0.1669928758433189
1610406066,0.1669928758433189
1610406366,0.1669928758433189
1610406456,0.16705790789782834
1610406456,0.16705790789782834
