t,value
1608432503,0.3406535311493018
1608432803,0.3406535311493018
1608433103,0.3406535311493018
1608433403,0.3406535311493018
1608433703,0.3406535311493018
1608434003,0.3406535311493018
1608434303,0.3406105246374866
1608434603,0.3406105246374866
1608434903,0.3406105246374866
1608435203,0.3406105246374866
1608435503,0.3406105246374866
1608435803,0.3406105246374866
1608436103,0.3406105246374866
1608436403,0.3406105246374866
1608436703,0.3406105246374866
1608437003,0.3406105246374866
1608437303,0.3406105246374866
1608437603,0.3406105246374866
1608437903,0.3406105246374866
1608438203,0.3406105246374866
1608438503,0.3406105246374866
1608438803,0.3406105246374866
1608439103,0.3406105246374866
1608439403,0.3406105246374866
1608439703,0.3406105246374866
1608440003,0.3406105246374866
1608440303,0.3406105246374866
1608440603,0.3406105246374866
1608440903,0.3406105246374866
1608441203,0.3406105246374866
1608441503,0.3406105246374866
1608441803,0.3406105246374866
1608442103,0.3406105246374866
1608442403,0.3406105246374866
1608442703,0.3406105246374866
1608443003,0.3406105246374866
1608443303,0.3406105246374866
1608443603,0.3406105246374866
1608443903,0.3406105246374866
1608444203,0.3406105246374866
1608444503,0.3406105246374866
1608444803,0.3406105246374866
1608445103,0.3406105246374866
1608445403,0.3406105246374866
1608445703,0.3406105246374866
1608446003,0.3406105246374866
1608446303,0.3406105246374866
1608446603,0.3406105246374866
1608446903,0.3406105246374866
1608447203,0.3405549308539205
1608447503,0.3405549308539205
1608447803,0.3405549308539205
1608448103,0.3405549308539205
1608448403,0.3405549308539205
1608448703,0.3405549308539205
1608449003,0.3405549308539205
1608449303,0.3405549308539205
1608449603,0.3405549308539205
1608449903,0.3405549308539205
1608450203,0.3405549308539205
1608450503,0.3405549308539205
1608450803,0.3405549308539205
1608451103,0.3405549308539205
1608451403,0.3405549308539205
1608451489,0.3405549308539205
1608451489,0.3405549308539205
