t,value
1607903626,2147483648
1607903926,2147483648
1607904226,2147483648
1607904526,2147483648
1607904826,2147483648
1607905126,2147483648
1607905426,2147483648
1607905726,2147483648
1607906026,2147483648
1607906326,2147483648
1607906626,2147483648
1607906926,2147483648
1607907226,2147483648
1607907526,2147483648
1607907826,2147483648
1607908126,2147483648
1607908426,2147483648
1607908726,2147483648
1607909026,2147483648
1607909326,2147483648
1607909626,2147483648
1607909926,2147483648
1607910226,2147483648
1607910526,2147483648
1607910826,2147483648
1607911126,2147483648
1607911426,2147483648
1607911726,2147483648
1607912026,2147483648
1607912326,2147483648
1607912626,2147483648
1607912926,2147483648
1607913226,2147483648
1607913526,2147483648
1607913826,2147483648
1607914126,2147483648
1607914426,2147483648
1607914726,2147483648
1607915026,2147483648
1607915326,2147483648
1607915626,2147483648
1607915926,2147483648
1607916226,2147483648
1607916526,2147483648
1607916826,2147483648
1607917126,2147483648
1607917426,2147483648
1607917726,2147483648
1607918026,2147483648
1607918326,2147483648
1607918626,2147483648
1607918926,2147483648
1607919226,2147483648
1607919526,2147483648
1607919826,2147483648
1607920126,2147483648
1607920426,2147483648
1607920726,2147483648
1607921026,2147483648
1607921326,2147483648
1607921626,2147483648
1607921926,2147483648
1607922226,2147483648
1607922526,2147483648
1607922826,2147483648
1607923126,2147483648
1607923426,2147483648
1607923726,2147483648
1607924026,2147483648
1607924326,2147483648
1607924626,2147483648
1607924926,2147483648
1607925226,2147483648
1607925526,2147483648
1607925826,2147483648
1607926126,2147483648
1607926426,2147483648
1607926726,2147483648
1607927026,2147483648
1607927326,2147483648
1607927626,2147483648
1607927926,2147483648
1607928226,2147483648
1607928526,2147483648
1607928826,2147483648
1607929126,2147483648
1607929426,2147483648
1607929726,2147483648
1607930026,2147483648
1607930326,2147483648
1607930626,2147483648
1607930926,2147483648
1607931226,2147483648
1607931526,2147483648
1607931826,2147483648
1607932126,2147483648
1607932426,2147483648
1607932726,2147483648
1607933026,2147483648
1607933326,2147483648
1607933626,2147483648
1607933926,2147483648
1607934226,2147483648
1607934526,2147483648
1607934826,2147483648
1607935126,2147483648
1607935426,2147483648
1607935726,2147483648
1607936026,2147483648
1607936326,2147483648
1607936626,2147483648
1607936926,2147483648
1607937226,2147483648
1607937526,2147483648
1607937826,2147483648
1607938126,2147483648
1607938426,2147483648
1607938726,2147483648
1607939026,2147483648
1607939326,2147483648
1607939626,2147483648
1607939926,2147483648
1607940226,2147483648
1607940526,2147483648
1607940826,2147483648
1607941126,2147483648
1607941426,2147483648
1607941726,2147483648
1607942026,2147483648
1607942326,2147483648
1607942626,2147483648
1607942926,2147483648
1607943226,2147483648
1607943526,2147483648
1607943826,2147483648
1607944126,2147483648
1607944426,2147483648
1607944726,2147483648
1607945026,2147483648
1607945326,2147483648
1607945626,2147483648
1607945926,2147483648
1607946226,2147483648
1607946526,2147483648
1607946826,2147483648
1607947126,2147483648
1607947426,2147483648
1607947726,2147483648
1607948026,2147483648
1607948326,2147483648
1607948626,2147483648
1607948926,2147483648
1607949226,2147483648
1607949526,2147483648
1607949826,2147483648
1607950126,2147483648
1607950426,2147483648
1607950726,2147483648
1607951026,2147483648
1607951326,2147483648
1607951626,2147483648
1607951926,2147483648
1607952226,2147483648
1607952526,2147483648
1607952826,2147483648
1607953126,2147483648
1607953426,2147483648
1607953726,2147483648
1607954026,2147483648
1607954326,2147483648
1607954626,2147483648
1607954926,2147483648
1607955226,2147483648
1607955526,2147483648
1607955826,2147483648
1607956126,2147483648
1607956426,2147483648
1607956726,2147483648
1607957026,2147483648
1607957326,2147483648
1607957626,2147483648
1607957926,2147483648
1607958226,2147483648
1607958526,2147483648
1607958826,2147483648
1607959126,2147483648
1607959426,2147483648
1607959726,2147483648
1607960026,2147483648
1607960326,2147483648
1607960626,2147483648
1607960926,2147483648
1607961226,2147483648
1607961526,2147483648
1607961826,2147483648
1607962126,2147483648
1607962426,2147483648
1607962536,2147483648
1607962536,2147483648
