t,value
1608491802,0.20554245283018868
1608492102,0.20554245283018868
1608492402,0.20554245283018868
1608492702,0.20554245283018868
1608493002,0.20554245283018868
1608493302,0.20554245283018868
1608493602,0.20554245283018868
1608493902,0.20554245283018868
1608494202,0.20554245283018868
1608494502,0.20554245283018868
1608494802,0.20554245283018868
1608495102,0.20554245283018868
1608495402,0.20554245283018868
1608495702,0.20554245283018868
1608496002,0.20554245283018868
1608496302,0.20554245283018868
1608496602,0.20554245283018868
1608496902,0.20554245283018868
1608497202,0.20554245283018868
1608497502,0.20554245283018868
1608497802,0.20554245283018868
1608498102,0.20554245283018868
1608498402,0.20554245283018868
1608498534,0.20554245283018868
1608498534,0.20554245283018868
