Iteration,SecondaryIndex Read time (ms),SecondaryIndex Write time (ms),SecondaryIndex Del time (ms),SecondaryIndex Total time (ms),SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Read time (ms),SG Write time (ms),SG Del time (ms)
0,0,0,0,0,28,2155328,2154649,44579524,29,201,0,0,0,0,0
1,0,0,0,0,25,2153368,2153368,44613572,26,165,0,0,0,0,0
2,0,0,0,0,26,2173136,2173136,44742114,27,180,0,0,0,0,0
3,0,0,0,0,25,2165053,2165053,44394168,26,172,0,0,0,0,0
4,0,0,0,0,27,2174273,2174273,44398496,28,190,0,0,0,0,0
5,0,0,0,0,26,2165837,2165837,44004902,27,177,0,0,0,0,0
6,0,0,0,0,28,2167766,2167766,43838197,29,200,0,0,0,0,0
7,0,0,0,0,27,2152041,2152041,43406811,28,191,0,0,0,0,0
8,0,0,0,0,27,2172846,2172846,43616312,28,190,0,0,0,0,0
9,0,0,0,0,27,2172331,2172331,43456776,28,188,0,0,0,0,0
